,,Average,Var
Accuracy,1dAVb,0.9915239350021959,4.7100822434499396e-05
Accuracy,RBBB,0.9963724198506808,8.751701390757434e-06
Accuracy,LBBB,1.0,0.0
Accuracy,SB,0.9939437856829162,3.8221515531477024e-05
Accuracy,AF,0.9951559068950373,2.0580014886023755e-05
Accuracy,ST,0.9951559068950373,2.0580014886023755e-05
Precision,1dAVb,0.8783068783068783,0.008454410570812686
Precision,RBBB,0.9264957264957264,0.003968149609175251
Precision,LBBB,1.0,0.0
Precision,SB,0.8416666666666667,0.02513888888888889
Precision,AF,0.8666666666666667,0.03555555555555556
Precision,ST,0.9166666666666666,0.01388888888888889
Recall,1dAVb,0.8722222222222221,0.01598765432098766
Recall,RBBB,1.0,0.0
Recall,LBBB,1.0,0.0
Recall,SB,0.9444444444444445,0.0061728395061728366
Recall,AF,0.85,0.011666666666666665
Recall,ST,0.9824561403508771,0.00061557402277624
Specificity,1dAVb,0.9962497088283252,9.49438055623787e-06
Specificity,RBBB,0.996207137521386,9.49403860978985e-06
Specificity,LBBB,1.0,0.0
Specificity,SB,0.9950340884303542,2.1474322334265878e-05
Specificity,AF,0.997539975399754,1.2103442067631044e-05
Specificity,ST,0.9962406015037594,2.826615410707205e-05
F1,1dAVb,0.8721469224901718,0.009340122735893389
F1,RBBB,0.960727969348659,0.0011688759706991983
F1,LBBB,1.0,0.0
F1,SB,0.8872180451127819,0.015414476039723369
F1,AF,0.8518518518518517,0.019204389574759964
F1,ST,0.9433719433719433,0.0038394710209382066
